B4C01 CORRECTED FULL RUN  n_sims=200 per generator x 5 generators = 1000 total
out=C:\Users\mpolz\Documents\UNI-Flagellum\UNI-FLAGELLUM\hierarchical-aif\results\motor_stack_aif\B4C01_CORRECTED_FULL_RESULT.json
progress=C:\Users\mpolz\Documents\UNI-Flagellum\UNI-FLAGELLUM\hierarchical-aif\results\motor_stack_aif\B4C01_CORRECTED_FULL_PROGRESS.json
[M3_TWO_TIMESCALE] DONE self_win 187/200 frac=0.9350  withinTolerance=True  fail=0
  [M5_GAMMA] 10/200  elapsed 662s  eta 12587s  self_wins=5 fail=0
  [M5_GAMMA] 20/200  elapsed 1325s  eta 11927s  self_wins=12 fail=0
  [M5_GAMMA] 30/200  elapsed 1976s  eta 11197s  self_wins=17 fail=0
  [M5_GAMMA] 40/200  elapsed 2642s  eta 10568s  self_wins=26 fail=0
  [M5_GAMMA] 50/200  elapsed 3326s  eta 9979s  self_wins=33 fail=0
  [M5_GAMMA] 60/200  elapsed 4004s  eta 9342s  self_wins=39 fail=0
  [M5_GAMMA] 70/200  elapsed 4671s  eta 8675s  self_wins=47 fail=0
  [M5_GAMMA] 80/200  elapsed 5345s  eta 8018s  self_wins=53 fail=0
  [M5_GAMMA] 90/200  elapsed 6023s  eta 7361s  self_wins=61 fail=0
  [M5_GAMMA] 100/200  elapsed 6700s  eta 6700s  self_wins=65 fail=0
  [M5_GAMMA] 110/200  elapsed 7374s  eta 6033s  self_wins=72 fail=0
  [M5_GAMMA] 120/200  elapsed 8048s  eta 5365s  self_wins=78 fail=0
  [M5_GAMMA] 130/200  elapsed 8708s  eta 4689s  self_wins=84 fail=0
  [M5_GAMMA] 140/200  elapsed 9343s  eta 4004s  self_wins=92 fail=0
  [M5_GAMMA] 150/200  elapsed 9988s  eta 3329s  self_wins=98 fail=0
  [M5_GAMMA] 160/200  elapsed 10646s  eta 2662s  self_wins=105 fail=0
  [M5_GAMMA] 170/200  elapsed 11305s  eta 1995s  self_wins=111 fail=0
  [M5_GAMMA] 180/200  elapsed 11935s  eta 1326s  self_wins=121 fail=0
  [M5_GAMMA] 190/200  elapsed 12555s  eta 661s  self_wins=126 fail=0
  [M5_GAMMA] 200/200  elapsed 13189s  eta 0s  self_wins=134 fail=0
[M5_GAMMA] DONE self_win 134/200 frac=0.6700  withinTolerance=True  fail=0

WROTE C:\Users\mpolz\Documents\UNI-Flagellum\UNI-FLAGELLUM\hierarchical-aif\results\motor_stack_aif\B4C01_CORRECTED_FULL_RESULT.json
sha256=8256cb120376f46bf00b537d2ad665f9d50335e3eed3727a1299129195dfb65b
verdict=NOT_ESTABLISHED  runStatus=ELIGIBLE_FOR_FROZEN_VERDICT  outcome=REFUTED  failing=['M0_EXPONENTIAL:self_win']
totalRuntimeS=60577.5  secondsPerSim=60.58
